Timestamp,Component,ComponentCode,ChangeType,DeltaQty,NewQty,Reference,Notes
2025-12-10 22:48:17,Yellow Antifreeze Bottle,BOTTLE-AFYEL,production,-5454.0,-5454.0,PROD1-ATGP50-25344,Consumed for PROD1-ATGP50-25344
2025-12-10 22:48:17,Yellow Antifreeze Cap,TBD,production,-5480.999999999999,-5480.999999999999,PROD1-ATGP50-25344,Consumed for PROD1-ATGP50-25344
2025-12-10 22:48:17,Green Power 50 Front Label,TBD,production,-5616.0,-5616.0,PROD1-ATGP50-25344,Consumed for PROD1-ATGP50-25344
2025-12-10 22:48:17,Green Power 50 Back Label,TBD,production,-5616.0,-5616.0,PROD1-ATGP50-25344,Consumed for PROD1-ATGP50-25344
2025-12-10 22:48:17,Green Power Box,TBD,production,-904.5,-904.5,PROD1-ATGP50-25344,Consumed for PROD1-ATGP50-25344
2025-12-10 23:01:43,Yellow Antifreeze Bottle,BOTTLE-AFYEL,production,-5454.0,-10908.0,PROD1-ATGP50-25322,Consumed for PROD1-ATGP50-25322
2025-12-10 23:01:43,Yellow Antifreeze Cap,TBD,production,-5480.999999999999,-10961.999999999998,PROD1-ATGP50-25322,Consumed for PROD1-ATGP50-25322
2025-12-10 23:01:43,Green Power 50 Front Label,TBD,production,-5616.0,-11232.0,PROD1-ATGP50-25322,Consumed for PROD1-ATGP50-25322
2025-12-10 23:01:43,Green Power 50 Back Label,TBD,production,-5616.0,-11232.0,PROD1-ATGP50-25322,Consumed for PROD1-ATGP50-25322
2025-12-10 23:01:43,Green Power Box,TBD,production,-904.5,-1809.0,PROD1-ATGP50-25322,Consumed for PROD1-ATGP50-25322
2025-12-11 07:31:52,Clear Round Bottle,BOTTLE-RD-NAT,production,-1484.7,-1484.7,PROD3-ATWWPX-25322,Consumed for PROD3-ATWWPX-25322
2025-12-11 07:31:52,White Cap,CAP-WH,production,-1492.05,-1492.05,PROD3-ATWWPX-25322,Consumed for PROD3-ATWWPX-25322
2025-12-11 07:31:52,PolarX Label,TBD,production,-1528.8,-1528.8,PROD3-ATWWPX-25322,Consumed for PROD3-ATWWPX-25322
2025-12-11 07:31:52,8Brand Box,BOX-WW/BL,production,-246.225,-246.225,PROD3-ATWWPX-25322,Consumed for PROD3-ATWWPX-25322
2025-12-11 07:43:25,Black Oil Bottle,BOT-OIL-QTBW,production,-1102.92,-1102.92,PROD2-TBD-25322,Consumed for PROD2-TBD-25322
2025-12-11 07:43:25,4 Seasons Oil 5W30 Front Label,TBD,production,-1135.68,-1135.68,PROD2-TBD-25322,Consumed for PROD2-TBD-25322
2025-12-11 07:43:25,4 Seasons Oil 5W30 Back Label,TBD,production,-1135.68,-1135.68,PROD2-TBD-25322,Consumed for PROD2-TBD-25322
2025-12-11 07:43:25,Black Oil Cap,TBD,production,-1102.92,-1102.92,PROD2-TBD-25322,Consumed for PROD2-TBD-25322
2025-12-11 07:43:25,4 Seasons Oil Box,TBD,production,-182.91,-182.91,PROD2-TBD-25322,Consumed for PROD2-TBD-25322
2025-12-11 07:45:33,Yellow Antifreeze Bottle,BOTTLE-AFYEL,production,-4581.36,-15489.36,PROD1-ATGP50-25323,Consumed for PROD1-ATGP50-25323
2025-12-11 07:45:33,Yellow Antifreeze Cap,TBD,production,-4604.04,-15566.039999999995,PROD1-ATGP50-25323,Consumed for PROD1-ATGP50-25323
2025-12-11 07:45:34,Green Power 50 Front Label,TBD,production,-4717.4400000000005,-15949.44,PROD1-ATGP50-25323,Consumed for PROD1-ATGP50-25323
2025-12-11 07:45:34,Green Power 50 Back Label,TBD,production,-4717.4400000000005,-15949.44,PROD1-ATGP50-25323,Consumed for PROD1-ATGP50-25323
2025-12-11 07:45:34,Green Power Box,TBD,production,-759.78,-2568.78,PROD1-ATGP50-25323,Consumed for PROD1-ATGP50-25323
2025-12-11 07:53:08,Blue Drum 55 Gal,TBD,production,-2.002,-2.002,PROD4-TBD-25323,Consumed for PROD4-TBD-25323
2025-12-11 07:53:08,W/Wash -30 Drum Label,TBD,production,-2.02,-2.02,PROD4-TBD-25323,Consumed for PROD4-TBD-25323
2025-12-11 07:54:43,Yellow Antifreeze Bottle,BOTTLE-AFYEL,production,-3490.56,-18979.92,PROD1-ATGP50-25324,Consumed for PROD1-ATGP50-25324
2025-12-11 07:54:44,Yellow Antifreeze Cap,TBD,production,-3507.84,-19073.88,PROD1-ATGP50-25324,Consumed for PROD1-ATGP50-25324
